index,Recency,Frequency,Monetary
2632,-1.354370194,-1.186184352,-1.362704175
1977,1.362257746,-0.729314009,-1.362253842
2583,-0.826845578,-1.468745318,-1.361241565
1241,1.34773848,-1.246878045,-1.359557422
993,-0.060755989,-1.312878513,-1.359557422
1936,0.276694603,-1.567036168,-1.355530592
205,-0.612371324,-1.312878513,-1.353525111
492,-0.780267246,-1.385882298,-1.352857784
737,2.030088357,-1.385882298,-1.352857784
272,-0.060755989,-1.385882298,-1.352579903
1060,-0.060755989,-1.246878045,-1.349197843
288,1.340453522,-1.246878045,-1.34776083
3476,1.419676269,-1.312878513,-1.344289944
568,-0.128248765,-1.186184352,-1.342587778
3619,1.369492288,-1.312878513,-1.342094304
1901,-0.954697669,-1.246878045,-1.341929884
1881,1.852723351,-1.246878045,-1.3407252
801,-0.518725019,-1.246878045,-1.339631663
2303,1.865232407,-1.567036168,-1.338812525
2503,2.053908807,-1.385882298,-1.338757947
126,0.968167927,-1.312878513,-1.33418707
3635,-0.901324528,-1.129692039,-1.333427874
2883,-0.349695081,-1.468745318,-1.3306685
1418,-0.142080789,-1.567036168,-1.329211617
1770,0.220612081,-1.567036168,-1.326628323
3068,1.789520792,-1.246878045,-1.325554477
389,-0.851009019,-1.385882298,-1.32180762
3652,-0.156030538,-1.076633299,-1.321113752
1898,2.053908807,-1.246878045,-1.320740385
3498,-0.060755989,-0.20116426,-1.319301926
3417,-0.365689454,-0.767384301,-1.31914226
3202,-0.693076031,-1.076633299,-1.316910356
1798,0.82358823,-1.246878045,-1.316751177
3329,1.490032429,-1.129692039,-1.314896478
3445,0.918024245,-0.93311034,-1.31309896
833,2.024109945,-1.695131297,-1.311200179
2239,1.496984995,-1.246878045,-1.309779097
1249,1.88391594,-1.385882298,-1.305949705
3130,0.029512257,-1.567036168,-1.304381358
1595,-0.982721077,-1.468745318,-1.303859268
2471,0.901101377,-1.567036168,-1.30281612
537,1.325832364,0.371006336,-1.302451344
454,1.483065053,-1.129692039,-1.302347153
3530,1.751056467,-1.186184352,-1.301566158
2258,1.318495922,-1.129692039,-1.301253976
2588,-0.612371324,-1.246878045,-1.299694909
3519,1.846452648,-1.695131297,-1.299694909
2554,-0.074041057,-1.385882298,-1.298138905
1621,1.565716402,-1.129692039,-1.297517358
1529,-1.106353868,-1.246878045,-1.295810611
3459,0.761667175,-0.174838546,-1.293849799
1359,1.129080327,-1.312878513,-1.291688197
3638,0.23195358,-1.246878045,-1.291431255
3583,-1.216574491,-1.695131297,-1.28784273
2233,0.054488041,-1.186184352,-1.286054504
1042,-0.114531535,-1.246878045,-1.283659451
2125,1.558906908,-1.186184352,-1.283252495
358,0.575803017,-1.076633299,-1.282236012
3357,-0.612371324,-1.026449096,-1.277172844
1742,-0.693076031,-1.312878513,-1.274854466
2722,2.030088357,-1.186184352,-1.273496785
1879,2.071677498,-1.186184352,-1.270387782
2741,-0.826845578,-1.468745318,-1.269637402
1431,-0.672349015,-1.385882298,-1.267889222
376,1.95162223,-0.656395162,-1.267290716
531,1.744604949,-0.767384301,-1.266593019
2326,-0.047572727,-1.246878045,-1.265746624
3258,1.76392428,-1.186184352,-1.265149701
1234,-0.448537757,-1.246878045,-1.262766402
1453,1.340453522,-1.129692039,-1.262023056
2484,-0.227657104,-1.312878513,-1.260884582
473,1.751056467,-1.186184352,-1.25871107
2466,1.814935116,-0.621376729,-1.257971427
3378,-0.31823085,-0.489375795,-1.256690972
3423,-0.632016005,-0.656395162,-1.25585484
2745,1.802250484,-0.93311034,-1.25585484
1417,-0.780267246,-1.186184352,-1.255461663
2850,1.136893031,-1.186184352,-1.255019566
3080,1.073792826,-1.076633299,-1.254037986
2176,-0.242382455,-0.310553771,-1.253792776
720,-0.272264215,-1.076633299,-1.253792776
1968,0.943211455,-0.489375795,-1.253204572
710,1.552083502,-0.93311034,-1.252959612
3547,1.340453522,-0.729314009,-1.252078366
3409,0.642477367,-1.026449096,-1.251100319
3456,-0.047572727,-0.282554741,-1.249489098
3040,-0.518725019,-0.397475362,-1.248027103
255,0.209205956,-1.385882298,-1.247540352
3415,1.419676269,-0.767384301,-1.246713539
1190,1.426781323,-1.026449096,-1.24637333
2894,-0.612371324,-0.553873918,-1.245984692
2017,-0.242382455,-1.246878045,-1.245693334
3553,1.5452461,-0.847276495,-1.245256492
2691,1.531528958,-0.58722335,-1.244286565
493,1.99407588,-1.129692039,-1.244286565
1445,1.303770696,-0.889367174,-1.244044262
1815,1.017413296,-0.767384301,-1.242495219
2819,1.852723351,-1.129692039,-1.240949095
3540,-0.46573343,-0.692347911,-1.240756034
3004,1.483065053,-1.076633299,-1.24065952
1912,1.68600112,-1.312878513,-1.24065952
1299,1.981995138,-1.385882298,-1.239984243
95,-0.875817158,-0.806664074,-1.238250358
1381,-0.414795485,-1.246878045,-1.237721288
364,-0.693076031,-1.076633299,-1.237577056
1425,0.09132719,-0.339023471,-1.237384785
3005,-0.574040686,-0.458135302,-1.237144509
3387,-1.041948201,-0.489375795,-1.236616149
1617,-0.483156889,-0.58722335,-1.236376098
2419,1.001095023,-0.767384301,-1.235560446
1411,1.679428322,-1.129692039,-1.235560446
509,-1.073418014,-1.567036168,-1.235368645
1615,0.6330652,-0.692347911,-1.234553988
3496,0.342039105,-0.58722335,-1.231971581
439,0.151165667,-0.806664074,-1.231255677
1108,0.689000305,-1.186184352,-1.229635253
500,-0.672349015,-0.255003783,-1.228635987
3237,1.51775478,-1.076633299,-1.228635987
2945,1.840171086,-1.076633299,-1.227732928
947,0.197734088,-1.468745318,-1.222807228
2847,0.209205956,-1.186184352,-1.222287947
2166,-0.349695081,-0.93311034,-1.221721828
3268,1.770340703,-0.553873918,-1.221344629
512,-0.114531535,-0.339023471,-1.219790492
756,1.969875487,-1.026449096,-1.21922607
1116,1.699109475,-1.246878045,-1.215707076
2921,0.103446888,-1.567036168,-1.215473004
2171,1.939403641,-1.129692039,-1.214771181
2673,-0.851009019,-0.255003783,-1.214630887
2602,-0.213070029,-1.312878513,-1.211643555
1298,1.160206634,-0.553873918,-1.210200396
1214,0.426158022,-1.129692039,-1.209874866
1183,0.761667175,-1.312878513,-1.209874866
3489,-1.354370194,0.093048461,-1.209735392
3143,1.057798642,-1.076633299,-1.205700707
401,2.024109945,-1.186184352,-1.205469418
2640,1.129080327,-0.9787174,-1.205284432
1950,0.884071059,-1.186184352,-1.205238192
1659,1.751056467,-1.468745318,-1.204452501
505,-0.349695081,-0.9787174,-1.204406307
544,0.276694603,-0.397475362,-1.201823475
3492,0.436448542,-0.339023471,-1.199983441
1069,0.642477367,0.093048461,-1.198468435
1123,1.76392428,-0.458135302,-1.19814742
792,-0.927593815,-1.129692039,-1.197689039
946,-0.074041057,-1.186184352,-1.19741413
2210,1.579293995,-0.93311034,-1.19558369
1326,-0.25725009,-1.246878045,-1.192389938
2616,-1.411547387,-1.312878513,-1.19057034
2782,1.136893031,-1.129692039,-1.188890686
3224,1.167936879,-1.246878045,-1.188120068
2962,-0.242382455,-1.076633299,-1.187485968
116,-0.954697669,-0.729314009,-1.185947979
1639,-0.536890305,-0.621376729,-1.184322552
1566,1.619701546,-1.186184352,-1.184006858
1546,-0.242382455,-1.246878045,-1.18337582
722,-0.612371324,-1.312878513,-1.183330764
282,0.3739685,-1.567036168,-1.182790276
2865,-1.303996075,-1.186184352,-1.181890226
1922,-0.632016005,-1.186184352,-1.181800273
2520,-0.780267246,-1.186184352,-1.181305703
565,-0.074041057,-0.9787174,-1.181080993
1606,1.731666368,-1.312878513,-1.179285448
1994,0.934841671,-0.889367174,-1.177493678
1723,1.476082774,-1.026449096,-1.177269971
886,1.599558142,-0.729314009,-1.174188789
1972,1.840171086,-0.367988408,-1.174099645
3088,-1.073418014,-0.806664074,-1.174099645
2767,0.276694603,-1.129692039,-1.171251928
1317,0.832314334,-1.026449096,-1.168148044
2650,1.565716402,-1.312878513,-1.167042231
2172,-0.333877457,-0.9787174,-1.161358749
135,1.802250484,-1.026449096,-1.159472566
1508,0.968167927,-1.246878045,-1.158246569
3148,1.266646392,-1.129692039,-1.157153399
3053,-0.901324528,0.204099296,-1.156803877
1287,1.95162223,-1.076633299,-1.156279859
3351,-0.227657104,-0.889367174,-1.156105257
3263,-0.060755989,-1.186184352,-1.15123066
2085,1.814935116,-1.246878045,-1.150406436
3404,1.939403641,-1.129692039,-1.149972949
63,-0.780267246,-1.385882298,-1.149756287
1237,-1.106353868,-0.282554741,-1.149323124
525,0.575803017,-1.186184352,-1.148803615
1194,1.21389939,-1.129692039,-1.146987777
301,1.025536854,-0.93311034,-1.146728681
1384,1.433870675,-0.397475362,-1.146469663
1127,-0.55532475,-0.427513616,-1.145175729
1230,1.376710256,-1.246878045,-1.144141966
2292,1.391096921,-1.129692039,-1.143711594
310,0.320483362,0.182340345,-1.142078119
1813,-0.047572727,0.225645948,-1.141520001
1745,2.053908807,-0.9787174,-1.139633636
2332,1.009266088,-1.129692039,-1.139633636
1896,-0.714205625,-1.129692039,-1.139162682
1654,1.229064277,-1.312878513,-1.138863116
382,0.477141755,-1.312878513,-1.138777545
3464,1.538394615,-0.282554741,-1.138392578
1177,1.776745555,-0.621376729,-1.135276322
2074,1.606285919,-1.567036168,-1.135148494
3158,-1.106353868,-1.312878513,-1.134296786
3307,1.001095023,-1.186184352,-1.132383468
2288,1.033636967,-1.026449096,-1.130474322
102,-0.047572727,-0.20116426,-1.129923564
2053,0.415819302,-1.076633299,-1.129457808
843,1.718679954,-0.58722335,-1.128865386
2949,0.546643755,-1.186184352,-1.128696196
1380,-0.901324528,-0.729314009,-1.127512777
340,1.692561481,-1.026449096,-1.12717495
561,0.487200996,-0.767384301,-1.125909256
3605,-0.632016005,-1.129692039,-1.125403488
1492,0.477141755,-1.076633299,-1.124729583
2568,1.175646914,-0.656395162,-1.124350738
3312,1.469085496,-1.246878045,-1.124350738
1490,-0.901324528,-1.246878045,-1.123719692
1067,-0.803279042,-0.847276495,-1.12355149
1325,-0.693076031,-1.186184352,-1.123467401
689,-0.047572727,-1.026449096,-1.120194171
651,0.698200139,-1.026449096,-1.120152286
1874,1.725179173,-1.026449096,-1.119356836
2633,1.770340703,-0.9787174,-1.11868754
2196,0.127455416,-0.847276495,-1.116307287
1051,1.699109475,-0.58722335,-1.115723643
742,1.355006515,-0.847276495,-1.113850251
758,1.957716551,-0.489375795,-1.111607401
1257,1.896318894,-1.186184352,-1.111607401
2438,1.001095023,-1.129692039,-1.111192682
577,1.712168643,-1.312878513,-1.111192682
2082,1.244153148,-1.246878045,-1.108708428
676,1.105515349,-1.026449096,-1.10808845
151,-1.17759363,-1.385882298,-1.104995034
2986,-0.31823085,-1.567036168,-1.104995034
384,1.221491408,-1.129692039,-1.101707207
2784,-1.106353868,-1.076633299,-1.101256078
2220,-0.074041057,-1.186184352,-1.099453844
940,0.054488041,-1.186184352,-1.098145411
3443,0.725597067,-0.339023471,-1.097655243
1169,2.071677498,-1.129692039,-1.093337061
2888,-0.074041057,-0.9787174,-1.093255786
316,0.725597067,-1.468745318,-1.092240469
1048,1.049767664,-0.367988408,-1.091915811
1080,-0.483156889,-0.58722335,-1.091307393
1612,-0.612371324,-0.123292073,-1.090334783
3390,1.945517943,-0.458135302,-1.087827078
1961,-0.55532475,-1.385882298,-1.086898579
3207,-0.73576221,-1.246878045,-1.085205531
402,0.415819302,-1.246878045,-1.084440674
1906,-0.780267246,-0.339023471,-1.083475468
2110,-0.431561164,-0.58722335,-1.083395081
3643,0.743696534,-0.889367174,-1.08271208
3449,1.476082774,-0.621376729,-1.082310556
2187,1.770340703,-0.806664074,-1.082069728
3016,1.105515349,-0.847276495,-1.08106697
2090,1.483065053,-1.186184352,-1.079424857
2464,-0.483156889,-1.026449096,-1.076428703
1197,-1.17759363,-0.9787174,-1.075711102
830,-0.448537757,-0.93311034,-1.075432189
2553,1.065806966,-0.227880049,-1.074954252
2788,-0.128248765,-1.129692039,-1.074038912
1144,0.298704225,-1.026449096,-1.073680988
2518,-0.213070029,-0.174838546,-1.073323205
2645,1.496984995,-1.312878513,-1.073243717
3420,0.186195327,-0.367988408,-1.072409512
1050,-0.55532475,-1.246878045,-1.071853802
715,0.054488041,-1.385882298,-1.071853802
3305,1.121246593,-1.312878513,-1.071060522
1064,1.705645173,-1.186184352,-1.070466017
3558,1.88391594,-1.129692039,-1.070069897
3470,0.788387493,0.138159617,-1.069951095
2420,-0.100926289,-1.186184352,-1.068922127
3310,2.042017134,-1.026449096,-1.068684838
163,-0.142080789,-0.93311034,-1.068210447
3045,-0.780267246,0.070125054,-1.065054156
3189,1.969875487,-0.9787174,-1.064975389
1776,1.981995138,-1.129692039,-1.063126325
1202,-0.431561164,-1.186184352,-1.061987284
2885,1.121246593,-1.385882298,-1.061477142
2104,-0.287429247,-1.076633299,-1.061281009
3298,1.666245132,-1.129692039,-1.061006495
1054,1.814935116,-0.847276495,-1.060849666
1248,2.036057405,-1.129692039,-1.060810463
901,1.945517943,-0.93311034,-1.060614474
1913,2.101111265,-1.076633299,-1.060144272
2701,-0.693076031,-0.397475362,-1.059870099
3376,-0.272264215,0.410931597,-1.05936114
3421,0.909576115,-0.255003783,-1.05767968
3398,1.274107341,-1.026449096,-1.057289086
964,2.071677498,-0.93311034,-1.057171941
1804,0.426158022,-0.93311034,-1.054910074
1908,0.661192888,-0.458135302,-1.054637468
1267,0.546643755,-1.129692039,-1.053975763
1633,0.909576115,-0.93311034,-1.05335342
2946,2.024109945,-1.026449096,-1.052925804
1383,-0.272264215,-0.339023471,-1.052809216
1111,1.483065053,-1.468745318,-1.052226499
1510,-0.25725009,-0.889367174,-1.050286782
3213,1.281550114,-1.246878045,-1.049512044
2251,-0.851009019,-0.397475362,-1.049008814
1852,0.029512257,-1.076633299,-1.048970116
2974,1.814935116,-1.026449096,-1.046496799
988,0.99289989,-1.076633299,-1.045840942
3618,1.68600112,-1.026449096,-1.045455362
2397,0.115489141,-1.246878045,-1.045262633
380,-1.106353868,-1.026449096,-1.040725908
1460,-0.73576221,-1.026449096,-1.040687556
3563,0.752697786,-1.026449096,-1.04007415
3602,0.892599777,-0.656395162,-1.039805913
139,1.433870675,-0.367988408,-1.03934626
3076,-0.333877457,-0.255003783,-1.039231382
2175,1.136893031,-0.553873918,-1.038695476
534,1.426781323,-1.026449096,-1.037777503
1077,-0.170101072,-0.847276495,-1.037586374
1141,-1.479370101,0.046945496,-1.037471715
2512,1.927144794,-0.806664074,-1.037395284
1247,-0.780267246,-0.024220536,-1.036822251
2331,1.105515349,-0.310553771,-1.036135082
1920,-0.714205625,-1.186184352,-1.035143405
3236,-0.875817158,-0.889367174,-1.035029049
2831,-0.227657104,0.246986399,-1.034000482
1839,0.394994511,0.160362696,-1.032668855
2100,1.808598403,-1.026449096,-1.032630837
2589,1.770340703,-0.729314009,-1.031111383
1741,2.042017134,-0.024220536,-1.029973425
2515,-0.851009019,0.450207536,-1.029708103
529,1.236618143,-1.312878513,-1.029215563
2941,0.95987435,-0.93311034,-1.028836863
1242,-1.258454391,-1.076633299,-1.027626064
3600,0.415819302,-0.255003783,-1.026945683
352,-0.901324528,-0.367988408,-1.025322343
772,-0.693076031,-0.397475362,-1.024907525
3199,1.789520792,-0.889367174,-1.024681339
2205,-1.17759363,-0.310553771,-1.023626531
680,0.342039105,-1.026449096,-1.022422498
1833,2.077582213,-1.695131297,-1.022422498
3504,-0.213070029,-1.186184352,-1.022234509
1366,0.849679714,0.350789912,-1.022159324
1319,-0.448537757,0.115724025,-1.019606635
285,1.795891301,-1.385882298,-1.018520112
3266,-0.803279042,-1.129692039,-1.018370346
3488,-0.652002409,-0.255003783,-1.017098305
1220,1.490032429,-1.076633299,-1.015492026
2514,1.927144794,-1.312878513,-1.014000289
768,-0.31823085,-0.024220536,-1.013367021
2213,0.866931218,0.391052148,-1.013069161
2841,0.446691531,-0.767384301,-1.012659758
3216,-0.851009019,0.093048461,-1.012622548
3531,-0.114531535,-0.073120917,-1.012436522
1867,0.642477367,-1.468745318,-1.01120968
2249,-0.612371324,-0.847276495,-1.010763954
3324,-1.140982004,-1.026449096,-1.010318439
3537,0.623616194,-0.656395162,-1.010058654
3092,1.510846079,-0.20116426,-1.00972475
1545,-1.140982004,-0.93311034,-1.008909041
1379,-1.411547387,-0.489375795,-1.00887198
15,-1.354370194,-0.9787174,-1.007871891
1153,-0.381866639,-0.93311034,-1.005727149
1004,-0.780267246,-0.9787174,-1.005468632
2825,-0.114531535,0.391052148,-1.004582828
1638,1.025536854,-0.621376729,-1.003661002
3511,-1.106353868,-1.468745318,-1.003218847
3204,1.725179173,-0.458135302,-1.001047935
1903,-0.757772767,-1.026449096,-0.999432203
3023,1.274107341,-1.076633299,-0.998478753
2733,-0.170101072,-0.427513616,-0.997965756
1353,1.659634595,-0.656395162,-0.997196784
62,-1.411547387,-0.93311034,-0.99624559
826,-0.142080789,-1.076633299,-0.995551093
3508,1.259167134,-1.186184352,-0.995404948
1449,1.692561481,-1.129692039,-0.993179037
2059,1.896318894,-0.93311034,-0.992632485
1984,-0.272264215,-1.129692039,-0.99223188
1509,-0.227657104,-0.93311034,-0.990122401
3653,0.054488041,-1.076633299,-0.989541302
1845,-0.213070029,-0.148886303,-0.989287183
741,-1.216574491,-0.227880049,-0.987836383
1343,-0.074041057,-0.767384301,-0.987836383
914,0.901101377,-0.93311034,-0.986822142
3486,1.63972634,-0.847276495,-0.986279245
2352,1.57251207,-1.695131297,-0.984833035
3071,0.595043741,-1.695131297,-0.984833035
3227,1.496984995,-0.339023471,-0.984580175
100,1.814935116,-1.186184352,-0.980148002
3656,-1.17759363,-0.889367174,-0.979788568
2307,0.151165667,-0.9787174,-0.979788568
3450,-0.483156889,-1.076633299,-0.97950112
354,-0.074041057,-0.339023471,-0.978459845
3139,0.814832794,-1.129692039,-0.977993435
442,1.705645173,-1.186184352,-0.977814108
176,-0.780267246,-0.9787174,-0.977240487
780,1.033636967,-0.889367174,-0.977132972
3085,1.988040349,-0.656395162,-0.973984563
559,-0.483156889,1.103533678,-0.9738417
3028,-0.875817158,-0.692347911,-0.9738417
405,2.053908807,-0.806664074,-0.97309202
3403,1.033636967,-1.246878045,-0.972913611
884,0.384507023,-1.076633299,-0.972271616
3424,-0.803279042,-0.073120917,-0.97148754
1803,2.059840837,-1.026449096,-0.971380671
1725,1.524649043,-0.889367174,-0.97134505
2648,-1.354370194,-1.076633299,-0.97134505
1456,1.229064277,-1.695131297,-0.971202581
2867,1.376710256,-1.695131297,-0.971202581
2200,0.832314334,-0.9787174,-0.970597325
3564,-0.333877457,-1.186184352,-0.969992451
150,-0.901324528,-0.93311034,-0.967860654
179,1.469085496,-0.9787174,-0.967292975
1653,1.001095023,0.526931854,-0.96640665
839,-0.574040686,-1.129692039,-0.965946084
3654,1.776745555,-1.026449096,-0.965521143
2773,0.6330652,-1.026449096,-0.964636453
1821,1.244153148,-0.458135302,-0.964318164
2629,0.066849357,0.246986399,-0.963787917
2195,-0.128248765,-0.93311034,-0.963787917
1076,-1.411547387,0.58298246,-0.96174038
3344,-1.073418014,0.246986399,-0.957869059
2108,0.689000305,-0.339023471,-0.957201951
433,1.592816949,-1.129692039,-0.955658839
674,-0.632016005,-0.729314009,-0.955518679
1062,1.705645173,-1.129692039,-0.954958241
2681,-0.381866639,-1.026449096,-0.954608132
1715,-0.757772767,-0.806664074,-0.952894435
2534,-0.652002409,-0.729314009,-0.95264987
3288,-0.73576221,-0.9787174,-0.952160924
688,1.469085496,-0.9787174,-0.951323307
2318,1.524649043,-1.026449096,-0.949894056
1139,1.369492288,-1.567036168,-0.948675632
2877,-0.901324528,-0.93311034,-0.948466914
3223,1.5452461,-1.129692039,-0.947806268
191,0.507186823,-1.026449096,-0.946937685
1985,-0.851009019,-1.186184352,-0.946555754
1365,-0.875817158,-1.026449096,-0.945792346
3293,0.707365963,-0.692347911,-0.943055959
2340,2.012124856,-0.767384301,-0.942606407
3487,0.875514961,-0.282554741,-0.942122506
2811,-1.041948201,0.795988492,-0.940741259
3043,-0.156030538,-1.076633299,-0.940258287
1464,0.806047728,-0.339023471,-0.939947931
3349,0.909576115,-0.93311034,-0.939603207
337,-0.593051416,-0.20116426,-0.939189701
1451,1.369492288,-0.553873918,-0.937571823
2543,1.221491408,-0.621376729,-0.936609258
3507,-0.349695081,0.115724025,-0.934858457
810,1.073792826,-0.889367174,-0.934618396
2975,-0.448537757,-0.847276495,-0.934549818
11,1.833878609,-1.026449096,-0.933145033
3407,-1.041948201,0.469611695,-0.932152625
1008,0.016894271,-0.806664074,-0.931947425
1332,-0.074041057,-0.93311034,-0.931742269
1892,1.009266088,-1.026449096,-0.930990396
3015,-0.518725019,-0.458135302,-0.929795427
2075,-0.652002409,-0.93311034,-0.929249643
3474,-1.041948201,-0.073120917,-0.928806417
1610,-0.954697669,-0.098041437,-0.928295252
2207,1.033636967,-1.186184352,-0.926185266
110,-0.448537757,-0.93311034,-0.923537213
748,1.025536854,0.046945496,-0.923096566
1511,-0.114531535,0.371006336,-0.922114297
1515,0.066849357,-0.9787174,-0.921268302
3240,-0.55532475,0.371006336,-0.921166831
2780,-0.381866639,-0.93311034,-0.92109919
1757,0.265601039,-1.026449096,-0.920423036
2070,0.526999603,-1.026449096,-0.920051349
3162,0.115489141,-0.847276495,-0.917959015
2803,-0.518725019,-0.123292073,-0.916241234
1081,0.725597067,-0.427513616,-0.916173931
2019,-0.500817436,-1.246878045,-0.915333034
1435,-0.73576221,-0.847276495,-0.914996876
892,-0.047572727,-0.889367174,-0.91398909
2330,0.770605036,-0.767384301,-0.913351359
3273,0.752697786,0.070125054,-0.912479343
569,2.053908807,-0.847276495,-0.911976607
1012,-0.954697669,-0.806664074,-0.909834477
662,-1.479370101,-0.93311034,-0.909500189
1781,1.770340703,-0.847276495,-0.909132603
1207,1.405418635,-0.397475362,-0.908798552
1527,-0.227657104,-0.048517895,-0.908698359
2768,0.892599777,-0.9787174,-0.908397841
3056,-0.803279042,0.507970447,-0.907029968
1503,-0.632016005,-1.246878045,-0.906996629
1133,2.101111265,-1.468745318,-0.906963291
146,-0.431561164,-0.806664074,-0.906763287
67,0.884071059,-1.129692039,-0.906196827
2375,0.725597067,-1.129692039,-0.906130207
3473,1.121246593,-0.889367174,-0.903900995
2770,1.113391658,-0.93311034,-0.901975275
3102,-1.354370194,0.204099296,-0.901511007
593,-0.901324528,-0.458135302,-0.900881276
2004,0.016894271,-1.312878513,-0.899821579
850,1.362257746,-1.246878045,-0.899656104
1499,2.036057405,-1.246878045,-0.898829141
1014,-0.128248765,-0.9787174,-0.898696891
1907,1.672843016,0.070125054,-0.898630772
557,1.679428322,-0.9787174,-0.898201109
397,0.103446888,-1.312878513,-0.896781241
935,2.071677498,-0.367988408,-0.895330449
2851,1.433870675,-0.427513616,-0.895231608
1256,-1.140982004,-0.847276495,-0.892205258
3579,-0.114531535,-1.076633299,-0.890433197
1253,-0.242382455,0.309827306,-0.890334841
3099,0.016894271,-0.489375795,-0.888631553
3413,0.934841671,-0.20116426,-0.886473866
3411,1.325832364,-0.58722335,-0.88644121
